+,110_h6983,400180,rep
+,108_h273,400115,rep
+,106_h4733,400117,rep
+,110_hr43,400127,rep
+,108_h663,400165,rep
+,108_hr653,400111,rep
+,109_hr23,400195,rep
+,110_hr1433,400125,rep
+,111_hr543,400109,rep
+,108_hr653,400136,rep
-,109_hr283,400125,rep
+,105_hc133,400103,rep
+,111_h3763,400134,rep
+,108_hr213,400129,rep
+,108_h2993,400131,rep
+,110_h1593,400120,rep
+,111_hr1743,400108,rep
+,110_h1423,400158,rep
+,108_h1683,400167,rep
+,108_hc53,400178,rep
+,110_h3403,400172,rep
+,108_s3,400123,rep
+,109_h4973,400133,rep
-,102_s323,400116,rep
+,105_h2203,400153,rep
+,106_s2943,400119,rep
-,110_hr533,400137,rep
+,111_h4823,400103,rep
+,108_h4613,400159,rep
+,111_hc323,400101,rep
-,105_h3,400178,rep
+,103_h4603,400144,rep
+,111_s3473,400108,rep
-,109_h2123,400184,rep
-,106_hr263,400177,rep
+,105_h643,400182,rep
+,110_hr273,400182,rep
+,111_h1053,400134,rep
-,104_h743,400122,rep
+,110_hr493,400175,rep
0,108_s703,400163,rep
-,111_hc93,400158,rep
+,109_h2123,400150,rep
+,110_h1873,400195,rep
+,110_hc203,400130,rep
+,109_h5573,400182,rep
+,105_sc3,400115,rep
+,110_h6633,400131,rep
+,105_h2813,400179,rep
+,108_h663,400110,rep
+,109_hr193,400166,rep
0,111_hr1003,400102,rep
+,111_sc43,400102,rep
-,111_hc223,400171,rep
+,108_hc423,400109,rep
+,111_hr353,400183,rep
+,110_hr643,400131,rep
-,111_h3123,400110,rep
0,108_h5183,400170,rep
+,108_h2443,400149,rep
+,105_hr143,400190,rep
-,110_hr403,400113,rep
-,110_hr1433,400182,rep
-,109_h3,400134,rep
+,109_hc483,400167,rep
0,106_h4733,400124,rep
0,108_hc413,400105,rep
+,105_h3433,400122,rep
+,110_h2563,400170,rep
0,109_hr703,400182,rep
-,108_h4503,400122,rep
+,111_hr403,400111,rep
-,109_hr623,400184,rep
+,106_h573,400118,rep
0,111_hr1103,400166,rep
+,108_h253,400110,rep
+,110_h2563,400186,rep
+,111_hr183,400118,rep
+,110_hr273,400137,rep
+,106_s2323,400173,rep
+,106_h4033,400174,rep
+,109_hr723,400124,rep
+,110_hr273,400183,rep
+,108_h273,400191,rep
-,110_hr203,400196,rep
+,111_hr853,400118,rep
0,108_hr433,400130,rep
+,109_hr323,400141,rep
0,106_h673,400163,rep
-,106_hr503,400183,rep
+,109_s403,400115,rep
+,110_h2563,400100,rep
+,111_hc133,400100,rep
-,108_h743,400199,rep
+,109_h3893,400123,rep
-,111_hc133,400116,rep
+,109_h3673,400108,rep
-,102_s3,400104,rep
+,109_hr333,400171,rep
-,106_h853,400112,rep
+,110_h513,400178,rep
+,105_h1003,400191,rep
+,110_h1553,400186,rep
+,108_h3493,400134,rep
+,110_h3963,400180,rep
0,110_hr273,400132,rep
+,111_hr353,400157,rep
+,111_hc323,400175,rep
-,105_h2883,400133,rep
+,110_h3403,400158,rep
+,110_h3403,400152,rep
-,108_h253,400132,rep
+,109_h1463,400121,rep
+,111_hr453,400140,rep
+,105_h3,400154,rep
-,108_hr473,400177,rep
+,111_hr1383,400160,rep
+,108_s23,400110,rep
+,111_h5133,400119,rep
+,110_hr533,400129,rep
+,108_hr213,400167,rep
-,108_h163,400142,rep
